id,unit,appointmentDate,appointmentTime,numberOfSlots
227,4 Stone Corner Avenue,9/22/2022,11:16,13
228,786 Boyd Park,9/21/2022,2:39,78
229,101 Summerview Way,9/22/2022,6:30,97
230,31 Tony Alley,9/26/2022,14:49,16
231,9 Lighthouse Bay Point,9/25/2022,5:17,63
232,776 Jenifer Court,9/27/2022,11:05,3
233,5559 Barnett Road,9/27/2022,22:50,78
234,2976 Weeping Birch Plaza,9/22/2022,17:08,55
235,0546 Hauk Place,9/25/2022,12:31,72
236,028 Emmet Court,9/22/2022,3:53,58
237,5880 Gale Trail,9/22/2022,8:51,10
238,3356 Claremont Junction,9/25/2022,1:18,30
239,74 Tennyson Terrace,9/23/2022,5:46,48
240,8 Haas Street,9/22/2022,13:17,67
241,61882 Logan Alley,9/29/2022,16:34,92
242,1 Crest Line Hill,9/22/2022,9:07,57
243,3651 Michigan Street,9/25/2022,5:52,51
244,60901 Ridgeway Pass,9/27/2022,13:17,44
245,8224 Arapahoe Center,9/24/2022,12:00,22
246,9126 Cherokee Drive,9/23/2022,1:27,49
247,81 Fair Oaks Lane,9/27/2022,20:27,1
248,18180 Buena Vista Trail,9/28/2022,1:50,8
249,82 John Wall Junction,9/29/2022,18:15,61
250,882 Twin Pines Avenue,9/24/2022,9:27,23
251,22319 Maple Avenue,9/23/2022,13:58,59
252,04 Utah Park,9/28/2022,11:20,27
253,88 Roth Crossing,9/24/2022,22:55,90
254,6 Spaight Plaza,9/22/2022,15:31,23
255,07 Scoville Way,9/22/2022,17:50,14
256,510 Loomis Park,9/27/2022,16:17,32
257,8 Caliangt Alley,9/28/2022,19:57,89
258,0229 Logan Parkway,9/24/2022,20:30,21
259,18959 North Point,9/21/2022,4:03,42
260,48776 Fairview Junction,9/22/2022,12:18,55
261,521 Vidon Terrace,9/22/2022,10:24,79
262,464 Oxford Crossing,9/25/2022,7:19,96
263,828 Ryan Lane,9/28/2022,10:57,11
264,25942 Crowley Court,9/26/2022,11:51,91
265,3 Buell Place,9/27/2022,20:56,64
266,6 Fieldstone Park,9/29/2022,8:10,43
267,30 Springs Avenue,9/22/2022,15:03,80
268,2 Aberg Place,9/26/2022,11:19,30
269,03 Hazelcrest Drive,9/23/2022,21:55,10
270,2566 Nobel Pass,9/21/2022,11:46,95
271,362 Helena Drive,9/25/2022,20:32,12
272,60412 Hoard Avenue,9/29/2022,17:03,9
273,2427 Brickson Park Hill,9/29/2022,4:06,22
274,7 Troy Park,9/21/2022,18:38,45
275,23444 Mendota Circle,9/26/2022,1:27,43
276,539 Schiller Circle,9/23/2022,17:54,87
277,73 Hermina Trail,9/28/2022,20:55,68
278,741 Arizona Street,9/23/2022,16:37,44
279,0 Orin Avenue,9/29/2022,12:18,35
280,9 Everett Court,9/23/2022,6:39,73
281,7 Stuart Trail,9/28/2022,12:45,32
282,706 Springs Place,9/26/2022,12:14,73
283,37215 Monterey Park,9/21/2022,4:57,2
284,3412 Dennis Way,9/25/2022,2:42,92
285,12659 Moland Plaza,9/24/2022,10:47,34
286,34 Saint Paul Lane,9/27/2022,8:44,19
287,4 Lien Court,9/24/2022,2:47,97
288,1858 Forster Point,9/27/2022,1:54,42
289,5 Clove Parkway,9/22/2022,11:31,26
290,3 Fairview Place,9/25/2022,10:31,27
291,04 Chive Drive,9/28/2022,9:47,39
292,9 Heffernan Trail,9/27/2022,5:44,34
293,387 6th Lane,9/27/2022,12:32,77
294,8 Jay Alley,9/21/2022,11:27,26
295,36323 Buhler Trail,9/21/2022,7:44,32
296,5 Jana Drive,9/24/2022,4:30,36
297,491 Darwin Place,9/27/2022,14:35,91
298,05677 Barnett Place,9/23/2022,5:34,80
299,30387 Raven Pass,9/21/2022,2:03,47
300,35294 Daystar Circle,9/22/2022,5:05,70
301,22755 Cottonwood Way,9/24/2022,13:15,7
302,6 Nobel Way,9/22/2022,11:09,13
303,645 American Circle,9/25/2022,23:26,62
304,36 Logan Park,9/28/2022,10:27,44
305,9 Westend Point,9/27/2022,3:22,19
306,5 Harper Terrace,9/27/2022,23:21,22
307,1478 Prairieview Place,9/29/2022,22:19,44
308,864 West Crossing,9/26/2022,11:21,86
309,42818 Golden Leaf Center,9/21/2022,2:40,53
310,145 Caliangt Way,9/23/2022,18:26,57
311,218 Raven Crossing,9/23/2022,1:04,11
312,136 Rusk Avenue,9/29/2022,20:01,99
313,1 Anniversary Park,9/25/2022,12:41,5
314,90 Sauthoff Hill,9/21/2022,12:50,16
315,78 Scoville Way,9/22/2022,19:37,34
316,6791 Kennedy Parkway,9/22/2022,9:37,33
317,1 Onsgard Alley,9/23/2022,6:59,88
318,468 Northland Place,9/25/2022,0:03,35
319,09 New Castle Center,9/26/2022,4:32,74
320,73934 Dovetail Plaza,9/25/2022,7:36,22
321,37221 La Follette Trail,9/29/2022,6:17,98
322,30084 Magdeline Place,9/29/2022,6:23,70
323,5 Northfield Center,9/21/2022,5:54,4
324,9527 Cordelia Avenue,9/25/2022,8:59,91
325,111 Summer Ridge Plaza,9/24/2022,22:31,54
326,1919 Express Pass,9/22/2022,0:08,61
327,79 Eggendart Junction,9/24/2022,21:24,2
328,1102 Briar Crest Street,9/29/2022,13:33,85
329,7 Hoffman Park,9/23/2022,4:57,85
330,992 Sommers Plaza,9/26/2022,2:12,83
331,56330 Corry Hill,9/29/2022,4:36,27
332,03 Springs Crossing,9/25/2022,10:55,64
333,7070 Prairie Rose Terrace,9/23/2022,4:05,98
334,3150 Havey Junction,9/28/2022,14:33,75
335,93731 Shoshone Alley,9/28/2022,12:48,87
336,18907 Sloan Place,9/24/2022,21:48,28
337,61 Dixon Hill,9/23/2022,18:19,10
338,5 Kinsman Point,9/24/2022,13:23,50
339,59982 Commercial Parkway,9/24/2022,7:08,41
340,7 Mockingbird Center,9/25/2022,14:10,85
341,3 Graceland Place,9/22/2022,22:01,18
342,32002 Dapin Hill,9/26/2022,22:16,43
343,19804 Carpenter Terrace,9/25/2022,14:41,18
344,993 Hudson Hill,9/28/2022,16:26,5
345,1 Morningstar Circle,9/27/2022,19:00,55
346,0957 Burrows Junction,9/26/2022,19:05,6
347,5 Monument Place,9/26/2022,10:51,10
348,0498 Dixon Junction,9/23/2022,8:38,65
349,675 Bayside Pass,9/21/2022,1:18,48
350,1 Stang Court,9/27/2022,10:42,36
351,73472 Stephen Lane,9/24/2022,22:46,92
352,71667 Sunbrook Court,9/26/2022,17:08,21
353,98845 Canary Avenue,9/26/2022,22:13,50
354,7 Marcy Street,9/21/2022,18:59,9
355,73 Dakota Trail,9/22/2022,12:40,53
356,0 Golf Course Crossing,9/25/2022,23:24,3
357,0848 Shelley Drive,9/25/2022,6:38,24
358,50 Fulton Drive,9/25/2022,10:19,23
359,826 Reinke Court,9/25/2022,6:34,65
360,1820 Comanche Hill,9/29/2022,11:00,7
361,24 Parkside Park,9/24/2022,16:49,76
362,3 Johnson Junction,9/22/2022,23:04,11
363,55886 Lawn Circle,9/26/2022,12:35,33
364,0 Lakewood Gardens Junction,9/22/2022,14:33,42
365,1 Butterfield Court,9/28/2022,0:45,34
366,9119 Golden Leaf Court,9/28/2022,21:04,45
367,9 Sachtjen Plaza,9/28/2022,22:25,85
368,9 Bellgrove Way,9/28/2022,17:34,17
369,38936 Corben Point,9/21/2022,14:07,95
370,8015 Myrtle Court,9/21/2022,13:06,16
371,26 Quincy Pass,9/24/2022,0:59,35
372,4077 Utah Parkway,9/24/2022,20:35,41
373,64 Center Hill,9/28/2022,14:28,71
374,0 Upham Lane,9/26/2022,19:58,59
375,8002 Trailsway Place,9/22/2022,18:27,55
376,2 Springs Hill,9/22/2022,13:21,2
377,997 Maple Junction,9/21/2022,12:08,79
378,138 Loeprich Center,9/24/2022,5:59,28
379,02 School Point,9/29/2022,11:10,59
380,9 Prairie Rose Terrace,9/25/2022,17:08,86
381,74 Hagan Park,9/21/2022,0:41,20
382,7 West Center,9/25/2022,2:34,55
383,5403 6th Trail,9/28/2022,20:50,59
384,486 Lighthouse Bay Avenue,9/25/2022,1:20,65
385,38729 Bluestem Pass,9/26/2022,15:12,62
386,36 Red Cloud Park,9/24/2022,20:04,33
387,57 Superior Plaza,9/26/2022,12:05,32
388,6 Northridge Point,9/21/2022,7:47,86
389,885 Fieldstone Terrace,9/27/2022,11:55,42
390,31097 Rutledge Terrace,9/25/2022,16:35,43
391,35 Wayridge Hill,9/21/2022,20:35,41
392,2 Mosinee Place,9/27/2022,1:08,44
393,78 Riverside Court,9/29/2022,3:43,75
394,5370 Troy Plaza,9/21/2022,5:51,49
395,73797 Anthes Plaza,9/24/2022,14:57,9
396,1 Cordelia Park,9/22/2022,22:57,86
397,6 Atwood Terrace,9/21/2022,2:48,55
398,22270 Quincy Drive,9/25/2022,22:56,7
399,95835 Wayridge Street,9/26/2022,12:00,19
400,52312 Homewood Alley,9/22/2022,21:26,8
401,44337 Elka Lane,9/27/2022,12:42,28
402,248 Petterle Point,9/24/2022,6:29,64
403,7101 Tony Avenue,9/26/2022,2:08,38
404,2 Holy Cross Point,9/29/2022,0:41,91
405,58 Everett Way,9/25/2022,1:49,65
406,3 Huxley Point,9/28/2022,2:00,31
407,436 Service Lane,9/21/2022,15:53,31
408,4 Birchwood Plaza,9/27/2022,5:48,56
409,18 3rd Circle,9/28/2022,21:00,33
410,4 Mosinee Terrace,9/21/2022,11:14,11
411,1778 Manley Terrace,9/23/2022,13:35,11
412,82 Mesta Plaza,9/29/2022,19:24,44
413,514 West Point,9/21/2022,15:28,65
414,055 Brown Center,9/29/2022,14:50,73
415,522 Anzinger Parkway,9/28/2022,9:11,75
416,7590 Darwin Pass,9/21/2022,5:57,74
417,0 Spenser Avenue,9/25/2022,18:35,31
418,62047 Longview Court,9/21/2022,10:45,95
419,13 Mayer Drive,9/29/2022,4:22,11
420,636 Redwing Trail,9/22/2022,22:58,88
421,5 Farragut Parkway,9/26/2022,19:15,100
422,6 Holmberg Terrace,9/26/2022,16:51,9
423,9 Monument Point,9/27/2022,16:56,33
424,351 Dovetail Way,9/24/2022,20:36,61
425,468 Kedzie Plaza,9/24/2022,11:53,92
426,38 Melby Park,9/29/2022,2:54,5
427,9869 Armistice Plaza,9/21/2022,8:13,41
428,21789 Pennsylvania Trail,9/22/2022,15:55,44
429,81696 Derek Avenue,9/26/2022,13:14,74
430,11 Morrow Center,9/26/2022,9:51,70
431,113 Autumn Leaf Avenue,9/23/2022,14:35,64
432,7 Shelley Center,9/29/2022,3:21,76
433,76 Arizona Street,9/21/2022,11:05,79
434,2 Vidon Point,9/24/2022,12:37,20
435,9 Pearson Alley,9/23/2022,12:02,12
436,7611 Holmberg Drive,9/25/2022,12:19,7
437,030 Sugar Hill,9/29/2022,11:22,71
438,28 Schmedeman Park,9/28/2022,9:18,21
439,7819 Harper Lane,9/29/2022,10:49,25
440,61304 Bellgrove Court,9/21/2022,6:55,85
441,3165 Pine View Drive,9/21/2022,11:45,100
442,1 Luster Court,9/28/2022,22:23,68
443,744 Homewood Junction,9/24/2022,3:45,54
444,6 Annamark Pass,9/26/2022,8:00,36
445,1576 Pierstorff Parkway,9/27/2022,4:14,9
446,9 Anhalt Alley,9/22/2022,19:48,94
447,7 Tennyson Hill,9/26/2022,11:55,46
448,0 Sunfield Terrace,9/29/2022,7:07,90
449,301 Gateway Pass,9/25/2022,13:43,81
450,97807 Fair Oaks Terrace,9/24/2022,20:08,40
451,1 Lake View Park,9/25/2022,6:50,40
452,27583 Veith Plaza,9/23/2022,22:13,52
453,520 Buena Vista Plaza,9/21/2022,17:01,84
454,192 Lake View Alley,9/28/2022,19:31,8
455,994 Hovde Street,9/24/2022,18:58,44
456,24618 Sullivan Way,9/24/2022,22:32,56
457,66248 Elka Park,9/25/2022,0:23,22
458,58994 Gateway Parkway,9/29/2022,0:56,20
459,054 Katie Crossing,9/22/2022,1:03,61
460,0 Bartelt Terrace,9/26/2022,11:24,26
461,54 Anderson Drive,9/22/2022,2:20,70
462,54691 Eagan Point,9/29/2022,22:45,93
463,85668 Havey Place,9/26/2022,15:29,26
464,8149 Maywood Avenue,9/23/2022,17:37,44
465,9913 Calypso Avenue,9/26/2022,3:09,79
466,2 Sullivan Trail,9/24/2022,15:45,13
467,1 Grayhawk Drive,9/22/2022,16:12,89
468,84 Moulton Center,9/27/2022,13:28,29
469,942 Donald Road,9/26/2022,11:05,56
470,74 Autumn Leaf Hill,9/24/2022,18:25,15
471,62935 Maple Parkway,9/27/2022,16:10,82
472,628 Warbler Road,9/25/2022,17:19,32
473,1 Hovde Junction,9/24/2022,6:36,67
474,91 Grover Alley,9/24/2022,16:18,27
475,758 Huxley Crossing,9/28/2022,15:14,18
476,77108 Southridge Junction,9/29/2022,7:23,8
477,1 Rusk Parkway,9/26/2022,21:37,6
478,31505 Elka Drive,9/23/2022,14:23,89
479,16 Vera Parkway,9/27/2022,7:56,35
480,3 Iowa Drive,9/26/2022,8:34,56
481,3228 Sloan Terrace,9/23/2022,13:00,40
482,6 Washington Circle,9/28/2022,1:06,38
483,0 Heath Center,9/21/2022,0:38,26
484,2 Tony Street,9/22/2022,1:05,87
485,77 Florence Junction,9/23/2022,18:02,45
486,825 Morning Way,9/27/2022,21:02,15
487,217 Grayhawk Road,9/25/2022,7:43,79
488,51 Charing Cross Trail,9/23/2022,18:42,56
489,07 Waubesa Place,9/29/2022,8:18,52
490,5939 Paget Alley,9/28/2022,12:11,3
491,1 Kipling Lane,9/21/2022,15:28,33
492,11 Sage Drive,9/26/2022,17:12,11
493,0199 Oriole Place,9/24/2022,23:16,7
494,7 Canary Lane,9/23/2022,14:28,45
495,5681 Kensington Plaza,9/24/2022,0:33,74
496,27 Cambridge Terrace,9/27/2022,14:51,13
497,077 Roth Circle,9/24/2022,9:41,26
498,68031 Springview Terrace,9/26/2022,19:31,51
499,4 Loftsgordon Court,9/28/2022,2:45,97
500,42001 Monica Court,9/24/2022,18:36,11
501,94263 Talmadge Way,9/24/2022,16:09,19
502,91503 Anniversary Trail,9/25/2022,14:47,30
503,854 Merrick Park,9/26/2022,6:45,75
504,911 Cascade Drive,9/22/2022,6:15,59
505,30 Forest Dale Circle,9/23/2022,22:51,24
506,76180 Mccormick Trail,9/27/2022,14:04,54
507,3 Lakewood Gardens Park,9/25/2022,16:10,37
508,900 Hollow Ridge Trail,9/23/2022,23:06,43
509,26040 Farragut Lane,9/27/2022,11:59,56
510,797 Lakewood Gardens Avenue,9/24/2022,15:28,77
511,60 Eggendart Park,9/29/2022,13:03,49
512,2 Walton Hill,9/22/2022,18:55,58
513,2 Twin Pines Crossing,9/29/2022,17:54,65
514,847 Tomscot Parkway,9/28/2022,12:11,11
515,09152 Hauk Street,9/22/2022,13:09,42
516,231 Loftsgordon Street,9/21/2022,10:07,99
517,5747 South Lane,9/21/2022,10:53,34
518,7572 Valley Edge Junction,9/21/2022,4:06,28
519,2614 Porter Lane,9/27/2022,17:25,10
520,88998 7th Drive,9/27/2022,5:15,70
521,0798 Troy Road,9/23/2022,1:20,46
522,5409 Riverside Terrace,9/25/2022,6:36,57
523,8 East Center,9/26/2022,11:47,75
524,966 Holmberg Lane,9/24/2022,10:17,100
525,96 Waxwing Way,9/27/2022,8:07,91
526,05206 Farwell Circle,9/28/2022,20:47,33
527,67 Longview Parkway,9/26/2022,4:06,52
528,2 Esker Crossing,9/24/2022,12:06,46
529,2289 Hermina Alley,9/24/2022,20:22,30
530,80988 Dottie Road,9/26/2022,19:35,18
531,1 Elka Pass,9/26/2022,5:26,69
532,40 Autumn Leaf Drive,9/25/2022,3:18,84
533,84125 Oneill Plaza,9/21/2022,11:56,40
534,47 Merry Terrace,9/21/2022,6:23,59
535,9 Canary Court,9/23/2022,17:14,62
536,9 Graceland Avenue,9/21/2022,16:29,18
537,10 Becker Plaza,9/29/2022,17:54,2
538,35598 Riverside Court,9/27/2022,20:46,18
539,41 Annamark Hill,9/28/2022,19:06,40
540,25 Bunker Hill Pass,9/27/2022,8:53,64
541,0543 Ridgeway Parkway,9/27/2022,22:13,36
542,37722 Fairview Avenue,9/22/2022,22:05,59
543,4313 7th Center,9/21/2022,8:01,21
544,3176 Esker Way,9/27/2022,19:34,75
545,92 Union Avenue,9/22/2022,18:35,16
546,38 Warrior Alley,9/26/2022,23:55,57
547,40 Lyons Alley,9/27/2022,2:01,84
548,5 Delladonna Avenue,9/22/2022,16:19,30
